Sample	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6
0	2043	2036	-7	-2040	3	-3	2056	2018	2016	1976	1997	1990
1	2046	2042	-4	-2044	2	-2	2063	2026	2023	1983	2003	1997
2	2051	2051	0	-2051	0	0	2075	2039	2035	1996	2015	2010
3	2060	2065	5	-2062	-2	2	2092	2058	2053	2018	2033	2029
4	2071	2083	12	-2077	-6	6	2113	2080	2075	2046	2058	2054
5	2084	2104	20	-2094	-10	10	2134	2104	2100	2080	2086	2081
6	2097	2124	27	-2111	-13	13	2155	2128	2126	2114	2115	2106
7	2109	2143	34	-2126	-17	17	2173	2149	2149	2144	2142	2129
8	2120	2159	39	-2140	-19	19	2188	2166	2168	2170	2165	2146
9	2129	2171	42	-2150	-21	21	2199	2180	2183	2190	2183	2159
10	2135	2180	44	-2158	-22	22	2207	2189	2193	2204	2197	2168
11	2140	2185	45	-2163	-22	22	2213	2195	2201	2213	2205	2173
12	2143	2187	44	-2165	-22	22	2214	2195	2204	2217	2209	2174
13	2144	2186	42	-2165	-21	21	2213	2191	2203	2215	2209	2172
14	2142	2182	39	-2162	-19	19	2207	2183	2199	2209	2203	2166
15	2138	2176	37	-2157	-18	18	2198	2171	2189	2197	2193	2156
16	2131	2167	35	-2149	-17	17	2185	2156	2175	2179	2178	2142
17	2122	2154	32	-2138	-16	16	2169	2137	2156	2157	2159	2123
18	2110	2139	28	-2125	-14	14	2149	2116	2133	2130	2135	2100
19	2097	2121	23	-2109	-11	11	2127	2091	2107	2098	2107	2074
20	2082	2100	17	-2091	-8	8	2104	2067	2080	2065	2077	2046
21	2069	2079	10	-2074	-5	5	2082	2044	2055	2032	2048	2021
22	2057	2061	4	-2059	-2	2	2065	2026	2034	2003	2022	2001
23	2048	2047	-1	-2047	0	0	2054	2014	2019	1981	2003	1987
24	2042	2037	-4	-2040	2	-2	2048	2007	2010	1967	1991	1980
25	2039	2033	-6	-2036	3	-3	2047	2004	2007	1961	1985	1977
26	2038	2031	-7	-2035	3	-3	2047	2003	2006	1961	1984	1977
27	2038	2032	-6	-2035	3	-3	2048	2002	2006	1962	1985	1979
28	2039	2033	-5	-2036	2	-2	2047	2001	2006	1965	1985	1980
29	2039	2034	-5	-2036	2	-2	2046	2001	2005	1967	1986	1981
30	2039	2034	-4	-2036	2	-2	2046	2001	2005	1969	1986	1983
31	2038	2034	-4	-2036	2	-2	2047	2001	2005	1970	1987	1983
32	2038	2034	-3	-2036	1	-1	2048	2001	2006	1971	1988	1983
33	2038	2033	-4	-2035	2	-2	2050	2002	2007	1972	1989	1983
34	2038	2032	-5	-2035	2	-2	2052	2002	2007	1972	1990	1982
35	2039	2032	-6	-2036	3	-3	2053	2003	2007	1972	1992	1981
36	2040	2032	-7	-2036	3	-3	2054	2003	2007	1972	1992	1981
37	2041	2032	-8	-2036	4	-4	2053	2003	2006	1972	1993	1980
38	2041	2032	-9	-2036	4	-4	2053	2004	2005	1972	1993	1979
39	2041	2031	-9	-2036	4	-4	2053	2005	2005	1972	1993	1978
40	2041	2031	-9	-2036	4	-4	2053	2007	2005	1972	1994	1978
41	2042	2030	-11	-2036	5	-5	2052	2006	2005	1972	1994	1977
42	2040	2024	-16	-2032	8	-8	2047	2000	1999	1967	1987	1970
43	2035	2007	-28	-2021	14	-14	2037	1984	1982	1953	1967	1949
44	2025	1976	-49	-2000	24	-24	2021	1959	1954	1923	1928	1912
45	2011	1938	-73	-1974	36	-36	2008	1939	1927	1884	1879	1876
46	2004	1911	-92	-1957	46	-46	2011	1943	1927	1863	1850	1868
47	2015	1919	-95	-1967	47	-47	2047	1991	1981	1893	1875	1922
48	2057	1983	-73	-2020	36	-36	2124	2097	2114	2007	1987	2061
49	2136	2111	-24	-2123	12	-12	2243	2261	2331	2222	2199	2290
50	2250	2297	46	-2273	-23	23	2395	2470	2621	2528	2502	2593
51	2391	2520	129	-2455	-64	64	2562	2695	2951	2897	2866	2934
52	2538	2743	205	-2641	-102	102	2710	2888	3266	3268	3233	3254
53	2667	2926	258	-2797	-129	129	2806	3000	3499	3578	3537	3491
54	2754	3031	276	-2892	-138	138	2818	2989	3591	3765	3720	3595
55	2780	3034	253	-2907	-126	126	2731	2837	3505	3784	3741	3540
56	2739	2932	192	-2836	-96	96	2550	2554	3241	3622	3592	3334
57	2638	2743	105	-2691	-52	52	2296	2175	2836	3300	3299	3016
58	2495	2503	7	-2499	-3	3	2011	1763	2355	2869	2915	2646
59	2338	2257	-80	-2298	40	-40	1748	1398	1890	2414	2516	2295
60	2193	2049	-144	-2121	72	-72	1558	1152	1522	2007	2167	2016
61	2079	1904	-175	-1992	87	-87	1473	1070	1309	1716	1914	1836
62	2006	1834	-172	-1920	86	-86	1497	1151	1267	1569	1774	1758
63	1973	1828	-144	-1901	72	-72	1605	1349	1369	1554	1736	1762
64	1972	1867	-104	-1919	52	-52	1751	1593	1551	1630	1770	1813
65	1987	1922	-65	-1954	32	-32	1889	1806	1741	1743	1834	1875
66	2005	1969	-36	-1987	18	-18	1985	1945	1884	1843	1893	1922
67	2018	1998	-19	-2008	9	-9	2035	2011	1963	1905	1930	1945
68	2024	2011	-12	-2017	6	-6	2050	2027	1989	1929	1944	1951
69	2025	2014	-10	-2020	5	-5	2051	2023	1990	1931	1946	1949
70	2025	2014	-11	-2020	5	-5	2048	2017	1985	1926	1944	1946
71	2024	2013	-11	-2019	5	-5	2046	2013	1981	1922	1941	1945
72	2024	2011	-12	-2018	6	-6	2045	2011	1980	1921	1940	1945
73	2023	2011	-12	-2017	6	-6	2046	2011	1979	1922	1940	1946
74	2022	2011	-10	-2016	5	-5	2047	2011	1980	1924	1941	1948
75	2021	2012	-9	-2016	4	-4	2049	2011	1981	1926	1943	1949
76	2021	2013	-7	-2017	3	-3	2050	2012	1983	1927	1945	1950
77	2021	2015	-6	-2018	3	-3	2052	2013	1985	1929	1947	1951
78	2022	2017	-5	-2019	2	-2	2054	2014	1988	1930	1950	1952
79	2023	2018	-4	-2020	2	-2	2056	2014	1990	1933	1952	1954
80	2024	2020	-4	-2022	2	-2	2059	2015	1992	1936	1956	1956
