Sample,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,2289,0,-2289,-1144.5,2289.0,-1144.5,0,0,0,0,0,0
1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
2,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
3,0,0,0,0.0,0.0,0.0,0,377,1,0,354,0
4,0,1434,1434,-717.0,-717.0,1434.0,4089,4083,4090,3872,4089,4085
5,3913,4087,174,-4000.0,1869.5,2130.5,4085,4085,4087,4083,4085,4085
6,4085,4087,2,-4086.0,2041.5,2044.5,4025,905,4089,4085,4087,3451
7,4089,294,-3795,-2191.5,3942.0,-1750.5,0,0,0,0,0,0
8,772,0,-772,-386.0,772.0,-386.0,0,0,0,0,0,0
9,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
10,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
11,0,0,0,0.0,0.0,0.0,565,3539,529,769,1502,1039
12,0,4088,4088,-2044.0,-2044.0,4088.0,4089,4085,4088,4083,4087,4083
13,4087,4087,0,-4087.0,2043.5,2043.5,4089,4085,4087,4087,4085,4085
14,4085,3779,-306,-3932.0,2195.5,1736.5,1479,0,1056,3155,1541,0
15,2981,0,-2981,-1490.5,2981.0,-1490.5,0,0,0,0,0,0
16,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
17,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0
18,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
19,0,710,710,-355.0,-355.0,710.0,2875,4085,2565,2937,3921,3609
20,1873,4087,2214,-2980.0,-170.5,3150.5,4085,4085,4087,4085,4087,4087
21,4085,4087,2,-4086.0,2041.5,2044.5,4085,2775,4087,4085,4085,4085
22,4085,2057,-2028,-3071.0,3056.5,14.5,0,0,0,0,0,0
23,2277,0,-2277,-1138.5,2277.0,-1138.5,0,0,0,0,0,0
24,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
25,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
26,0,0,0,0.0,0.0,0.0,0,391,0,0,353,0
27,0,1455,1455,-727.5,-727.5,1455.0,4087,4087,4089,3889,4089,4085
